# gap sizes in first 1.5e12 primes  2 through 45624190113149
gap_size, count, log10(count)
535, 134, 2.13
537, 153, 2.18
539, 344, 2.54
541, 126, 2.10
543, 131, 2.12
545, 270, 2.43
547, 120, 2.08
549, 127, 2.10
551, 167, 2.22
553, 67, 1.83
555, 64, 1.81
557, 134, 2.13
559, 110, 2.04
561, 57, 1.76
563, 105, 2.02
565, 46, 1.66
567, 52, 1.72
569, 109, 2.04
571, 40, 1.60
573, 48, 1.68
575, 73, 1.86
577, 35, 1.54
579, 41, 1.61
581, 42, 1.62
583, 24, 1.38
585, 16, 1.20
587, 45, 1.65
589, 23, 1.36
591, 23, 1.36
593, 38, 1.58
595, 15, 1.18
597, 19, 1.28
599, 26, 1.41
601, 11, 1.04
603, 17, 1.23
605, 16, 1.20
607, 9, 0.95
609, 15, 1.18
611, 20, 1.30
613, 9, 0.95
615, 14, 1.15
617, 14, 1.15
619, 9, 0.95
621, 5, 0.70
623, 6, 0.78
625, 3, 0.48
627, 2, 0.30
629, 13, 1.11
631, 0, 
633, 5, 0.70
635, 7, 0.85
637, 2, 0.30
639, 4, 0.60
641, 7, 0.85
643, 1, 0.00
645, 0, 
647, 5, 0.70
649, 5, 0.70
651, 2, 0.30
653, 0, 
655, 0, 
657, 1, 0.00
659, 4, 0.60
661, 1, 0.00
663, 1, 0.00
665, 4, 0.60
667, 3, 0.48
669, 0, 
671, 3, 0.48
673, 4, 0.60
675, 0, 
677, 2, 0.30
679, 0, 
681, 1, 0.00
683, 1, 0.00
685, 0, 
687, 0, 
689, 2, 0.30
691, 1, 0.00
693, 0, 
695, 3, 0.48
697, 1, 0.00
699, 2, 0.30
701, 1, 0.00
703, 0, 
705, 1, 0.00
707, 0, 
709, 0, 
711, 0, 
713, 0, 
715, 2, 0.30
717, 0, 
719, 0, 
721, 0, 
723, 0, 
725, 0, 
727, 0, 
729, 1, 0.00
731, 0, 
733, 0, 
735, 0, 
737, 0, 
739, 0, 
741, 0, 
743, 1, 0.00
745, 0, 
747, 0, 
749, 0, 
751, 0, 
753, 0, 
755, 0, 
757, 0, 
759, 0, 
761, 0, 
763, 0, 
765, 1, 0.00
767, 0, 
769, 0, 
771, 0, 
773, 0, 
775, 0, 
777, 1, 0.00
